Uuid,Void/Retire,Name
54e1a064-172b-4d3c-ae8e-b78afb368c37,TRUE,Glyburide 3mg
ab1a18bd-926d-48f3-8006-16314952698b,TRUE,Glyburide 5mg
e79df49a-71a6-4169-952c-0225048cb482,TRUE,Glyburide 6mg
17e9b385-de8b-4d60-a7de-c37cbe2a3d1c,TRUE,Gouttes Nasale 0.9%
3543c654-0834-4c90-982c-5e277005c15d,TRUE,Griséofulvine Co 500mg
a491df48-4a2f-4f4a-a1b0-8bde19af5fb3,TRUE,Griséofulvine Sirop 125mg
b0ce9018-f569-4380-a233-97efb9d2a168,TRUE,Hydrochlorothiazide 50mg
51717134-b03a-4951-9e67-9fc56a920a24,TRUE,Hydrocortisone + Acetic Acid Otic
9a0b84c9-6c80-4fc0-9764-43a870b2a432,TRUE,Hydrocortisone 1%
f116a3d6-3019-4e7c-9a1f-42c681144a31,TRUE,Hydrocortisone 2.5%
d07d5371-355c-4c61-9469-3f354f7edd5e,TRUE,Hydrocortisone creme 1%
baa212eb-23a2-43c4-b2ac-badf95eac406,TRUE,Hydrocortisone Injection vial 100mg
daf6e832-5615-44ce-a512-6f1c239245d9,TRUE,Hyoscine Butylbromide Injection vial 20mg
f05dd6ca-43d0-45ea-93ef-8d82483bbdc9,TRUE,Ibuprofen Co 400mg
60508974-752a-4960-b0be-f0e6aa6da64b,TRUE,Inderal 80mg
c15080cf-f142-46be-8dd3-7193958c4e93,TRUE,Inderal IR 10mg
22e9616c-b0c0-4d3e-95e9-173750386d61,TRUE,Inderal IR 20mg
23e8de30-5b3c-4371-a185-200556fa0951,TRUE,Inderal IR 40mg
997f4df8-0cdd-47bc-ba71-a01c6bcd3b89,TRUE,Inderal IR 60mg
3b3e2029-84c4-4472-85b4-a1f1af0885b6,TRUE,Insuline R 100UI/1ml
ec734d5e-53c3-4d59-8c3a-3ce9c9360bc9,TRUE,Iron IR 325mg
5b420f3b-7584-4934-b457-91d6f94ff6b7,TRUE,Ketoconazole Co 200mg
92247357-ccd3-4f83-9362-f40a103f4cd4,TRUE,Ketoconazole creme 2%
c00019ed-8b20-4445-891e-6de8fd9e6d33,TRUE,Ketoconazole Savon 2%
aa42752c-af45-449c-ae9f-30c6e272cee4,TRUE,Ketoconazole Shampooing 2%
9bab903e-6312-4c6a-95dc-149c86e752ad,TRUE,Lasix 10mg
6ca6fa54-5b32-4d64-a66c-542c0889f840,TRUE,Lasix 20mg
db08ac66-5b79-4e29-a799-6c9b76d3c40b,TRUE,Lasix 40mg
7edcd7d4-ca9f-45f8-b591-bcf0985e7213,TRUE,Lasix 60mg
cf76df0e-4571-4f7a-9a66-cb7122134077,TRUE,Lasix 80mg
5363a53f-a3c2-4a29-b7f0-a4b075052e5e,TRUE,Levaquin 250mg
39c32716-b384-4dd8-84c7-324786e015b3,TRUE,Levaquin 500mg
762b4267-6ce6-4de7-8342-7d415fedda6b,TRUE,Levothyroxine sodium
15c7d21f-cd1a-4eed-ab79-2fcfe0d99592,TRUE,Levothyroxine sodium 75 mcg
396c0447-c8e2-4f2f-a9a1-b664efe352ea,TRUE,Lindane 1%
85315e68-f8f1-43e6-b957-ae773bfaf9b7,TRUE,Lisinopril
e6bd712f-5fb7-4704-8cc3-f26b7f710d20,TRUE,Lisinopril 10 mg
c6f2234a-75ed-4530-bd60-1196fd84d0c6,TRUE,Lisinopril 2.5 mg
1e5421d1-abcd-4d88-8776-1a8057506aba,TRUE,Lisinopril 20 mg
f6ad6ed0-953c-4b45-ba41-2f302f3b8b09,TRUE,Lisinopril 30 mg
41323ed9-967b-4afa-bc9b-cda3ceb42050,TRUE,Lisinopril 40 mg
e5300d81-b7cd-4010-8a1c-269030d5bab4,TRUE,Lisinopril 5 mg
5360f695-a3e2-4593-9426-69ef43781877,TRUE,Losartan Co 5mg
f691c1c4-1fe3-4fd5-afbf-2167ad241164,TRUE,Lotrimin 1%
931d1308-a72f-4f3a-a627-63d8b3c8c25d,TRUE,Malarone
c5551705-ce62-4054-97e1-7eba697c0b77,TRUE,Malarone 1g+400mg
6bea54c9-97d5-4a9b-90fe-ee5ac2a9dd1c,TRUE,Malarone 250mg+100mg
a80acf74-a85c-4fef-8dc4-d763e364663f,TRUE,Metformin
405bf055-32ff-405c-b041-4e4543f66e99,TRUE,Metformin 1000mg
81dadd82-3ac8-4aab-9f61-848b89b3f053,TRUE,Metformin Co
d590f509-1e79-479c-bcdd-5f3812b16803,TRUE,Metformin Co 1000mg
721497f0-dcf4-4f05-8fe7-e2e487b0d774,TRUE,Metformin Co 500mg
7a563628-d9c4-4a25-8193-207199051785,TRUE,Metoclopramide Co 10mg
66319a6e-d296-4929-b7ed-b2ff8e108bc9,TRUE,Metoclopramide Injection vial 10mg
2421535d-e55e-4fa0-9dd5-039d8a63ed6a,TRUE,Metoclopramide Sirop 5mg/5ml
1ea6b0b2-25d7-4279-b4ee-ccbacd60d17a,TRUE,Metoprolol Co 50mg
d88a415d-1532-4d6e-9b47-b0264aa84485,TRUE,Metro-gel 0.75%
edc8ef37-594e-48e9-83e9-7b7c5e6fc3be,TRUE,Metronidazole
24de32d2-6d1f-4e53-b047-93e6729228c4,TRUE,Metronidazole 250mg
5690d13c-595b-4e29-bc7f-711afc8e7a16,TRUE,Metronidazole Co 500mg
c933dc30-36f6-471f-bca6-53d8a682dce1,TRUE,Metronidazole et Nystatin Ovules Vaginales 500mg+100000UI
1f17613f-0e53-4609-9856-558ed43e085d,TRUE,Metronidazole Sirop 250mg
b35c87c8-fb39-4ca4-aae9-0986349c5eaf,TRUE,MGSO4 25%
61444a80-77b6-4986-b9c1-07eab731ce28,TRUE,Microlut 30
b257beaf-a967-4822-8f78-9f87be045959,TRUE,Minocin 90mg
1fc3e5e1-85dd-4a1e-88fa-5f57e07d727d,TRUE,Miralax 17g
92e5fe31-7eb4-4bdc-a245-e359715eee0e,TRUE,Motrin Children's 100mg/5ml
5939e5cd-cc6e-470a-bd7d-d1353e9174be,TRUE,Motrin Infant's 50mg/1.25ml
143c0048-33d5-46e6-b7b9-85b12769b629,TRUE,Multi-Vitamin Adult
9c257346-524c-4eef-bcf3-2cf4b472b2a8,TRUE,Multi-Vitamin Children
fb601ad7-ffb6-4624-8f64-93522bb8d4ac,TRUE,Multi-Vitamin Prenatal
9eb0a661-f27b-472e-a35d-04dc1dba0860,TRUE,Mycrogynon 30
25dc03a6-b2ca-46d5-8121-43ab025b3e9c,TRUE,Neomycine creme 5m/g
9dcd95b2-afe2-4d51-8b88-17211966fd65,TRUE,Neosporin
c0a931b7-c900-45fe-b672-b78a00f41ed2,TRUE,Neurontin 100mg
c6308b9c-00f1-476c-aa61-745bb26e0f71,TRUE,Neurontin 300mg
294c26b6-a5c8-454e-b9b7-16d103584b3d,TRUE,Neurontin 600mg
12da54e5-294a-4be2-834c-4ffd996a5bf6,TRUE,Neurontin 800mg
9a118208-e8a4-4af2-bb3a-f0bf02649e75,TRUE,Neurontin 900mg
057862ef-9fe0-40c8-8955-3149b25c4a70,TRUE,Nifedipine Co 20mg
