Uuid,Void/Retire,Fully specified name:en,Data class,Data type
,FALSE,MULTIVITAMIN (A TO Z ),Drug,N/A
,FALSE,MULTIVITAMINS (A TO Z ) 30,Drug,N/A
,FALSE,Magnesium 250 MG,Drug,N/A
,FALSE,N-Acetylcysteine 200 MG,Drug,N/A
,FALSE,N-Acetylcysteine 300 MG,Drug,N/A
,FALSE,NEOMYCIN,Drug,N/A
,FALSE,NEOMYCIN SULFATE EYE,Drug,N/A
,FALSE,NITAZOXANIDE 500 MG,Drug,N/A
,FALSE,NORETHISTERONE 10 MG,Drug,N/A
,FALSE,NYSTATIN,Drug,N/A
,FALSE,NYSTATIN ( COMBINATION,Drug,N/A
,FALSE,Nifedipine 10 MG,Drug,N/A
,FALSE,Nifedipine 20 MG,Drug,N/A
,FALSE,Nifedipine XR 30 MG,Drug,N/A
,FALSE,Nitrofurantoin 100 MG,Drug,N/A
,FALSE,Nitrofurantoin 50 MG,Drug,N/A
,FALSE,OFLOXACIN 0.3 %,Drug,N/A
,FALSE,OMEGA 3,Drug,N/A
,FALSE,OMEPRAZOLE 20 MG,Drug,N/A
,FALSE,OMEPRAZOLE 40 MG,Drug,N/A
,FALSE,ORPHENADRINE 35 MG,Drug,N/A
,FALSE,OXYBUTYNIN 5 MG,Drug,N/A
,FALSE,OXYMETAZOLINE 0.5 %,Drug,N/A
,FALSE,OXYTETRACYCLINE EYE,Drug,N/A
,FALSE,Ondansetron 4 MG,Drug,N/A
,FALSE,PANADOL MIGRAINE,Drug,N/A
,FALSE,PANTHINOL,Drug,N/A
,FALSE,PANTHINOLIC ACID,Drug,N/A
,FALSE,PANTOPRAZOLE 40 MG,Drug,N/A
,FALSE,PARACETAMOL,Drug,N/A
,FALSE,PARACETAMOL 1000 MG,Drug,N/A
,FALSE,PARACETAMOL 120 MG,Drug,N/A
,FALSE,PARACETAMOL 125 MG,Drug,N/A
,FALSE,PARACETAMOL 125 MG 60 ML,Drug,N/A
,FALSE,PARACETAMOL 150 MG,Drug,N/A
,FALSE,PARACETAMOL 250 MG,Drug,N/A
,FALSE,PARACETAMOL 300 MG,Drug,N/A
,FALSE,PARACETAMOL 500,Drug,N/A
,FALSE,PARACETAMOL 500 MG,Drug,N/A
,FALSE,PERMETHRIN 5 %,Drug,N/A
